"Co-design activity 1 Group Reflection_Group 2","Co-design activity 1 Group Reflection_Group 2","6","[ -
COLLINTERACTIVE CLASS
Technology Supported Learning
Mobile Technology
Augmented Reality
Seemless Technology (OLED)
Human Factors
Teachers
Students
Collinteractive Class is A class environment (virtual) which facilitate collaborative, constructive and interactive learning supported by ICT enhancement (reach media).- ]","2017-10-03 13:39:52"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","1","In the future classroom, students may just needan electronic device to access all their homeworkand all other learning resources in the Cloud. This means no more lugging heavy textbooks to school, and having constant access to your reading materials as long as you have an Internet connection.
Such convenience will provide students the freedom to work on their projects or homework anytime and anywhere.The digital library is accessible even when the campus library is not.In fact you can skip hitching a ride there, or to the bookstore or even to class (but being sick may no longer be an acceptable excuse to skip “attending” class from your bedroom).
An Online Learning Opportunity

Take for example, the concept of cloud-basedvirtual learning environment (VLE) (Link->http://en.wikipedia.org/wiki/Virtual_learning_environment)
, which allows students to access learning content and participate in discussions in forums.Assignments or even tests can also be easily disseminatedto the class, minimizing the need for students to be physically present, but to encourage interaction and discussion, educators require another channel.","2017-10-03 13:43:37"
"Co-design activity 1_Group 5","Co-design activity 1_Group 5","1","[ - 未來的教室將會使學習變得更加便利而且不受到時空的限制，使學習的機會變得更加廣泛、隨時隨地。- ]","2017-09-19 14:50:05"
"Co-design activity 1_Group 5","Co-design activity 1_Group 5","1","可以透過眼鏡結合混合實境(MR) ，與現實生活中的物件互動","2017-09-19 14:51:39"
"Co-design activity 1_Group 5","Co-design activity 1_Group 5","1","即時的回饋可以讓老師知道教學情況
https://www.youtube.com/watch?v=mPUfwX4Nqy8","2017-09-19 14:53:27"
"Co-design activity 1_Group 5","Co-design activity 1_Group 5","1","科技讓資訊可被快速的紀錄並且呈現在任何地方","2017-09-19 14:54:53"
"Co-design activity 1_Group 5","Co-design activity 1_Group 5","1","利用VR技術 結合行動裝置 不管到哪都可以進行學習","2017-09-19 15:00:46"
"Co-design activity 1_Group 5","Co-design activity 1_Group 5","1","[ - 因此資訊更容易被保存下來- ]","2017-09-19 15:01:01"
"Co-design activity 1_Group 5","Co-design activity 1_Group 5","1","從影片中也可看到科技可以讓教學時有即時和多樣性的知識呈現與流通。","2017-09-19 15:02:59"
"Co-design activity 1_Group 5","Co-design activity 1_Group 5","1","可以極大提高老師的效率，幫助其識別出有閱讀障礙和顯示出非凡天分的學生","2017-09-19 15:04:48"
"Co-design activity 1_Group 5","Co-design activity 1_Group 5","1","並且通過現代網路技術的進步，學生間能分享各自的想法，達到相互學習的效果","2017-09-19 15:08:14"
"Co-design activity 1_Group 5","Co-design activity 1_Group 5","2","是的 之後運用大數據就可針對不同學生設計教學策","2017-09-19 15:08:23"
"Co-design activity 1_Group 5","Co-design activity 1_Group 5","2","沒錯我也是這麼想的，學習將變得更有效率","2017-09-19 15:09:39"
"Co-design activity 1_Group 5","Co-design activity 1_Group 5","3","是像這樣嗎?
https://www.youtube.com/watch?v=kg3CcaAgnUM","2017-09-19 15:11:06"
"Co-design activity 1_Group 5","Co-design activity 1_Group 5","1","透過大數據分析，記錄學生歷程，分析出最學生最有效的教學法。","2017-09-19 15:11:55"
"Co-design activity 1_Group 5","Co-design activity 1_Group 5","2","在這大數據的世界裡，以後的學生的各項學習，都是會被數值所定義，因此，每個學生去運用像是''VR技術''，讓在一個教室中，也可以達到效果","2017-09-19 15:15:02"
"Co-design activity 1_Group 5","Co-design activity 1_Group 5","1","沒錯! 可以進行無所不在的學習，讓教學更有趣^^","2017-09-19 15:15:35"
"Co-design activity 1_Group 5","Co-design activity 1_Group 5","1","拉近學生與老師在上課時的距離","2017-09-19 15:18:17"
"Co-design activity 1_Group 5","Co-design activity 1_Group 5","1","透過MR 跟生活中的物品互動，即時顯示英文單字及發音，讓英文更加地融入生活","2017-09-19 15:18:33"
"Co-design activity 1_Group 5","Co-design activity 1_Group 5","1","增強老師與學生的互動性","2017-09-19 15:19:57"
"Co-design activity 1_Group 5","Co-design activity 1_Group 5","1","透過科技裝置應用於教育現場，讓學生能夠從中學習，比較不會讓學生產生枯燥乏味的學習","2017-09-19 15:21:08"
"Co-design activity 1_Group 5","Co-design activity 1_Group 5","5","知道未來大數據對每個不同學生的重要性，那要如何實作?","2017-09-19 15:21:09"
"Co-design activity 1_Group 5","Co-design activity 1_Group 5","2","為了消除城鄉的學校資源上的落差，使用VR 讓學生一同學習 受到平等的教育","2017-09-19 15:23:09"
"Co-design activity 1_Group 5","Co-design activity 1_Group 5","1","沒錯! 使用VR可以降低偏鄉教學的預算，讓偏鄉學生享有跟都市一樣的教學資源","2017-09-19 15:26:23"
"Co-design activity 1_Group 5","Co-design activity 1_Group 5","2","我們可以讓學生透過資訊科技裝置來學習，並記錄學習歷程，上傳到雲端並透過大數據分析 找出隱藏資訊 ，也可以利用AI 搜尋世界各地的學習歷程來分析 並建議教學法","2017-09-19 15:31:16"
"Co-design activity 1_Group 5","Co-design activity 1_Group 5","5","學生在學習上的數值變化條件難以定義","2017-09-19 15:34:46"
"Co-design activity 1_Group 5","Co-design activity 1_Group 5","1","要有第一次的實測，針對第一次的實測，分析每個學生的狀況，給予不同的教材，當數據分析樣本數夠多，給予適當教材的準確率當然會提升","2017-09-19 16:10:56"
"Co-design activity 1_Group 5","Co-design activity 1_Group 5","1","VR 加上遊戲讓學生更有興趣，改善傳統教學法。","2017-09-19 16:15:29"
"Co-design activity 1_Group 5","Co-design activity 1_Group 5","1","VR 可以應用於各種教材，像是化學實驗，減少學校承擔的成本","2017-09-19 16:20:07"
"Co-design activity 1_Group 5","Co-design activity 1_Group 5",,"是的 沒有絕對 只有更適合","2017-09-19 16:21:30"
"Co-design activity 1_Group 5","Co-design activity 1_Group 5","1","VR也可應用在一些成本需花費較為昂貴的運動，例如:高爾夫、划船、保齡球；使平常無法接觸的學生，有機會體驗這項運動","2017-09-19 16:22:19"
"Co-design activity 1_Group 5","Co-design activity 1_Group 5","5","利用第一次的實測來決定教材的話，會不會導致變相成為能力分班的情況？如果是在相同的教材下，老師給予特定學生額外的輔導會不會有更好的成效？","2017-09-19 16:28:51"
"Co-design activity 1_Group 5","Co-design activity 1_Group 5","2","應該是說 是指依照每個學生的程度給予適合的教材 是在教材的給予上的不同 沒有去實際區分學生的能力","2017-09-19 16:37:09"
"Co-design activity 1_Group 5","Co-design activity 1_Group 5","2","可以的 但有分兩部分，針對課程小部分的編排是妥當的，因為，學生的學習進度會有不同
然而，我們是運用'大數據'，是希望可以有'整體'課程的規劃，是一個大方向。","2017-09-19 16:41:53"
"Co-design activity 1_Group 5","Co-design activity 1_Group 5","5","如這樣的方式是指說 假設有一班國小生 分別會拿到不同(適合自己的)教材，那老師該如何教課呢?","2017-09-26 14:05:49"
"Co-design activity1_ Group 1","Co-design activity1_ Group 1","1","1. VR
2. AR
3. Internet of Things
4. Electronic paper and ink
5. Electronic white boards
6. Touchcreen","2017-09-19 14:44:07"
"Co-design activity1_ Group 1","Co-design activity1_ Group 1","1","I think the future classrooms are too technological, but I can't see the student discussing with each other in the vedio.","2017-09-19 14:44:24"
"Co-design activity1_ Group 1","Co-design activity1_ Group 1","1","There is no limit about the time, space, or who you wanna share with.
But maybe the problem will be this: how to cross the gap between the ecnomy and cultrual. All these are based on the technology development and how money.
And there is maybe another hope for our environment. Because all the things can be reused again and again.","2017-09-19 14:48:27"
"Co-design activity1_ Group 1","Co-design activity1_ Group 1","1","1. Anytime.
2. Anywhere.
3. Communicating with anyone.","2017-09-19 14:49:46"
"Co-design activity1_ Group 1","Co-design activity1_ Group 1",,"I agree with you!","2017-09-19 14:53:15"
"Co-design activity1_ Group 1","Co-design activity1_ Group 1","1","I think in the video show us about many activites that we can do in every moment, with each people around the world.
for example, it is about communication in learning activities. In the video, every one can communicate no metter their language. The lenguage can translate otomatis. It will be more interesting if the lenguage doesn't be translated in text but also in sound.","2017-09-19 14:53:39"
"Co-design activity1_ Group 1","Co-design activity1_ Group 1","1","then electric will be important for us to use these devices, but so far, we haven't come out with a better idea for creating energy.","2017-09-19 14:54:27"
"Co-design activity1_ Group 1","Co-design activity1_ Group 1","1","or we can say the future classroom lack face-to-face interaction","2017-09-19 14:59:46"
"Co-design activity1_ Group 1","Co-design activity1_ Group 1","1","That's true! The lack of energy is a big problem for technology . With the need grows up, we have to find some ways to lift the energy growth up. What's more important is we have to get the ''GREEN'' energy!","2017-09-19 15:00:23"
"Co-design activity1_ Group 1","Co-design activity1_ Group 1","1","1. Good (national) energy policy, better be green and sustainable","2017-09-19 15:01:58"
"Co-design activity1_ Group 1","Co-design activity1_ Group 1","1","it will be convenient for students around the world to take the same class and communicate with each other, but the disadventage will be what just like Jane and Cath's opinion, lack of face-to-face interaction.","2017-09-19 15:04:28"
"Co-design activity1_ Group 1","Co-design activity1_ Group 1","2","But interaction is the most important thing in learning process.","2017-09-19 15:07:19"
"Co-design activity1_ Group 1","Co-design activity1_ Group 1","3","Future Classroom and Student Life (Link->https://www.youtube.com/watch?v=reLFdbjZYDI)
e-Classroom: The Future of Education from Huawei (Link->https://www.youtube.com/watch?v=KskZkNOe_qY)","2017-09-19 15:07:35"
"Co-design activity1_ Group 1","Co-design activity1_ Group 1","5","1.how to take advantage of technoloy , but keep the humanity ?
2.and there is another porblem, behind the internet, how much reality will be kept in the end?","2017-09-19 15:08:06"
"Co-design activity1_ Group 1","Co-design activity1_ Group 1",,,"2017-09-19 15:09:08"
"Co-design activity1_ Group 1","Co-design activity1_ Group 1","1","and I think this will have an effect on social interaction. Meybe, they can change someone to be less in their social interaction.","2017-09-19 15:10:31"
"Co-design activity1_ Group 1","Co-design activity1_ Group 1","1","I agree with you.
And the gap maybe make the difference of each country become large to large.
By the way, if these 3C productionbroken, it is a problem how to destroy it.","2017-09-19 15:10:41"
"Co-design activity1_ Group 1","Co-design activity1_ Group 1","4","1. we have a wisdom, technology can not replace all in our life, just use it wisely
2. i dont really undestand what do you mean","2017-09-19 15:12:17"
"Co-design activity1_ Group 1","Co-design activity1_ Group 1","1","1.when everyone just sit and use computer stuff, it's harmful to eyes and something else.
2.stopping 'doing', people will get sick.","2017-09-19 15:14:29"
"Co-design activity1_ Group 1","Co-design activity1_ Group 1","4","thank you for your reply.
the 'reality' I said means when people get on the internet, we usaually just need a 'acount'. so we might not know who is one we really interact with . According to this, some crimes will happen.","2017-09-19 15:18:12"
"Co-design activity1_ Group 1","Co-design activity1_ Group 1",,"So yes, haha. it's not good, healthy is no.1","2017-09-19 15:20:19"
"Co-design activity1_ Group 1","Co-design activity1_ Group 1","5","I think we have a lot of note, please add this symbol in beginning of your note.
(Q) if your note is question
(A) it means we answer about question
(S) means suggestion
(O) means opinion","2017-09-19 15:21:34"
"Co-design activity1_ Group 1","Co-design activity1_ Group 1","1","'how' the interaction goes is important, too.","2017-09-19 15:29:11"
"Co-design activity1_ Group 1","Co-design activity1_ Group 1","5","1. what is 'idea'
hsin:a way of thinking
ika: to think things in an unique way
Damie:
2.
Catherine: There are always improvable ideas,. With time goes by, the world changes, and people's idea about things changes
uun:our creativity of ideas
3. Why ideas are important
Damie: knowledge, information and innovation are built up on ideas
4.
uun:creatively
teacher: In our education, are we guided to think
we can build up an environment for our students to be aware of 'ideas'
5.","2017-09-19 15:39:31"
"Co-design activity1_ Group 1","Co-design activity1_ Group 1","2","with the support of technology (maybe world 1), +
the high multimedia content which are different from the past we called 'text' (maybe world 2), +
the Pedagogy both contain two meaing of individualized learning and collaborative learning (maybe world 3) =
Future Classroom","2017-09-26 20:15:12"
"Co-design activity1_ Group 1","Co-design activity1_ Group 1","2","The role of technology will mainly play as an important role in future classroom together with updated pedagogy. Multimedia’ function will take part as the key connection of learning and sharing with having great quality images, audio and video. While technological development sharply raises, traditional classroom design, strongly approach on text and teacher center approach becomes less motivation for learners. Moreover, to update pedagogy is getting as a strong requirement to match with technological development and high multimedia context.
Technology will create future classroom worldwide that does not need to exit at a particular classroom like being in present time with university/college classrooms. Even in current, university students spend most time in the lab rather than learning in the classroom. Classroom is only place where offer information and guiding how to approach what students want to study. Instructors leads the class by using technology supporting mainly. Thus, it is not deniable that technology will support learners to create their own classroom and learners can learn anytime and anywhere. Online classroom such as Massive Open Online Courses well known MOOC offers different kinds of courses; language, Science, Mathematics and so on, and it is getting popular among those who cannot spend the whole day and cost much. They can do distance learning and micro learning as well and can access free to join Smart classroom, I-classroom and video lectures of learning websites. Some video lectures for micro learning take only three minute for the information what they need to apply at work place. To get a particular skill in any field, the practical work should be more and longer than learning time, so, online learning fulfills such appropriate quality of their job.
In 21<sup>st</sup> century, young generations are quiet familiar with technology even though old generation leg far behind teach movement and still trying to catch up with this unique development. Together with enabling teach, educationist need to update pedagogy to hit the point of the society’s needs. Future classroom will be different at all with traditional classroom of 20<sup>th</sup> century and the present, the first decade of 21<sup>st</sup> century. Pedagogy should be related with the real problem in the world, so it is a need to support problem solving, innovative project for fair development, collaborative skill, consensus view and how to work together even though learner can learn individually. Individual learning fulfills for personal interesting and need, however, no one can solve the problem alone. Thus, the expectation of pedagogy for future classroom is high, actually how to work together, how to build human behavior better to love in living multi-culture and how to create positive environment to produce more humane beings.
Multimedia context is high even in present, so it will be the highest in near future when the whole world is a classroom. All the information by multi-media is mixing and missing, so the learner need to pick up what they want to learn and how should be approached. The role of instructor who has high tech skill will be an important role for how to use secure and safe in sharing to others and taking data from the others. Critical thinking to analyze information which are right or wrong, reasonable or unreasonable and how to response is very important to create networking society in advance for human value and standard","2017-10-03 14:27:01"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas","4","1. 大家沒看到，可能是時間差或po文的位置被忽略。———是否能有提醒功能或其它
2. 離題或失焦，導致大家沒想法，但大家已經看過了——可以像line顯示已讀ㄕㄨˋ","2017-11-21 16:23:01"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas","2","讓社群成員可以不只對議題(目標)build-on，也可以透過聊天室關心社群成員，增加彼此感情。","2017-11-21 16:23:44"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas","2","若build on越多背景圖片會越豐富是否會讓大家更想ㄗㄨㄛˋ貢獻","2017-11-21 16:26:07"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas",,,"2017-11-21 16:26:39"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas",,,"2017-11-21 16:27:02"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas","3","事實上我們應該會直接使用line，上面還有貼圖可以使用，有訊息也能即時通知，不用像kf還要再ㄉㄥˉㄖㄨ","2017-11-21 16:29:11"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas",,,"2017-11-21 16:29:51"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas",,,"2017-11-21 16:30:19"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas",,,"2017-11-21 16:32:26"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas",,,"2017-11-21 16:33:01"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas","3","http://v7v7v7v7v7.pixnet.net/blog/post/43998014-%E5%BC%95%E7%88%86%E5%9C%98%E9%9A%8A%E5%8B%95%E8%83%BD%E3%80%80%E5%BD%B1%E9%9F%BF%E5%9C%98%E9%AB%94%E5%8B%95%E5%8A%9B%E7%9A%84%E5%9F%BA%E6%9C%AC%E5%85%83%E7%B4%A0 (Link->http://v7v7v7v7v7.pixnet.net/blog/post/43998014-%E5%BC%95%E7%88%86%E5%9C%98%E9%9A%8A%E5%8B%95%E8%83%BD%E3%80%80%E5%BD%B1%E9%9F%BF%E5%9C%98%E9%AB%94%E5%8B%95%E5%8A%9B%E7%9A%84%E5%9F%BA%E6%9C%AC%E5%85%83%E7%B4%A0)","2017-11-21 16:33:54"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas",,,"2017-11-21 16:33:56"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas","2","例如:更新的動態提醒、目前的社群KB狀態","2017-11-21 16:36:01"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas",,,"2017-11-21 16:36:42"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas",,,"2017-11-21 16:37:14"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas",,,"2017-11-21 16:38:25"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas","5","如果大家的目標一致，應該就會更有凝聚力。
所以我想問的是，怎樣的介面設計，可以幫助大家找出對於問題的共識？","2017-11-21 16:38:33"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas",,,"2017-11-28 10:08:30"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas",,,"2017-11-28 10:11:29"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas",,,"2017-11-28 10:18:01"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas","2","Because the KF platform only allows people to come up with ideas, there is no place for members to care for each other and to enhance their feelings.","2017-11-28 12:34:57"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas","5","Where can voting function be used?","2017-11-28 12:37:31"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas",,,"2017-11-28 14:07:07"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas",,,"2017-11-28 14:07:40"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas",,,"2017-11-28 14:07:57"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas","6","優：fb的發文介面可以清楚看到內容在寫什麼，也可以直接在底下留言。
缺：不能把相關聯的PO文放在一起，建議可以使用單一PO文樣板，但可自由移動擺放位置。","2017-11-28 14:11:09"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas",,,"2017-11-28 14:13:01"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas",,,"2017-11-28 14:13:26"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas",,,"2017-11-28 14:15:27"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas",,,"2017-11-28 14:16:50"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas","4","例如大家都選了某一個，只有我想選另一個，而不敢選。","2017-11-28 14:17:48"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas",,,"2017-11-28 14:19:18"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas",,,"2017-11-28 14:19:37"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas",,,"2017-11-28 14:21:28"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas",,,"2017-11-28 14:24:31"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas","5","樹狀結構的時間線是要顯示什麼呢?是指呈現該node的build-on歷史紀錄嗎?
還是指node中的留言?(前提是如果node能以回帖的方式留言)","2017-11-28 14:25:09"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas",,,"2017-11-28 14:25:54"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas",,,"2017-11-28 14:26:01"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas",,,"2017-11-28 14:26:51"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas",,,"2017-11-28 14:28:23"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas",,,"2017-11-28 14:31:04"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas",,,"2017-11-28 14:36:45"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas","4","Kf 上，看不出來大家對每一個意見的反應，
如果可以看出大家比較關注的，也可以協助聚集主題。","2017-11-28 14:55:47"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas",,,"2017-11-28 14:56:14"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas",,,"2017-11-28 14:57:38"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas","2","一是介面設計/改善方面的，一是班級經營/教育心理方面的","2017-11-28 15:00:19"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas",,,"2017-12-05 14:17:50"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas",,,"2017-12-12 15:43:34"
"Community dynamics and Status of C K and P Ideas","Community dynamics and Status of C K and P Ideas",,,"2017-12-12 16:40:20"
"KF interface and communication issues","KF interface and communication issues",,,"2017-11-21 16:21:25"
"KF interface and communication issues","KF interface and communication issues",,,"2017-11-28 11:43:51"
"KF interface and communication issues","KF interface and communication issues","4","inconvenient","2017-11-28 11:44:38"
"KF interface and communication issues","KF interface and communication issues",,,"2017-11-28 11:47:05"
"KF interface and communication issues","KF interface and communication issues",,,"2017-11-28 11:48:12"
"KF interface and communication issues","KF interface and communication issues",,,"2017-11-28 12:36:45"
"KF interface and communication issues","KF interface and communication issues",,,"2017-11-28 12:40:08"
"KF interface and communication issues","KF interface and communication issues",,,"2017-11-28 12:46:23"
"KF interface and communication issues","KF interface and communication issues",,,"2017-11-28 13:03:24"
"KF interface and communication issues","KF interface and communication issues",,,"2017-11-28 13:28:38"
"KF interface and communication issues","KF interface and communication issues",,,"2017-11-28 13:29:38"
"KF interface and communication issues","KF interface and communication issues",,,"2017-11-28 13:34:17"
"KF interface and communication issues","KF interface and communication issues",,,"2017-11-28 14:06:37"
"KF interface and communication issues","KF interface and communication issues","4","Current situation and problem.
This function（通知） should be added newly for the following reasons:
With the current situation, it is not possible to know the situation 4W(when, who, where, what) on the board.
When checking what the board is like, we need to log in every time.
This is not productive and this possibly will cause delay.
Solution:
In order to shoot this problem, implementation of notification function is necessary.","2017-11-28 14:07:22"
"KF interface and communication issues","KF interface and communication issues",,,"2017-11-28 14:14:02"
"KF interface and communication issues","KF interface and communication issues",,,"2017-11-28 14:17:17"
"KF interface and communication issues","KF interface and communication issues",,,"2017-11-28 14:19:03"
"KF interface and communication issues","KF interface and communication issues",,,"2017-11-28 14:23:35"
"KF interface and communication issues","KF interface and communication issues",,"Support issue","2017-11-28 14:24:12"
"KF interface and communication issues","KF interface and communication issues",,,"2017-11-28 14:24:36"
"KF interface and communication issues","KF interface and communication issues",,,"2017-11-28 14:24:46"
"KF interface and communication issues","KF interface and communication issues",,,"2017-11-28 14:25:49"
"KF interface and communication issues","KF interface and communication issues",,,"2017-11-28 14:26:37"
"KF interface and communication issues","KF interface and communication issues","2","student 1 note color will be different with students 2 and so on.","2017-11-28 14:27:08"
"KF interface and communication issues","KF interface and communication issues",,,"2017-11-28 14:28:22"
"KF interface and communication issues","KF interface and communication issues",,,"2017-11-28 14:29:43"
"KF interface and communication issues","KF interface and communication issues",,,"2017-11-28 14:31:10"
"KF interface and communication issues","KF interface and communication issues",,,"2017-11-28 14:31:22"
"KF interface and communication issues","KF interface and communication issues",,,"2017-11-28 14:31:54"
"KF interface and communication issues","KF interface and communication issues",,,"2017-11-28 14:32:35"
"KF interface and communication issues","KF interface and communication issues",,,"2017-11-28 14:33:55"
"KF interface and communication issues","KF interface and communication issues",,,"2017-11-28 14:34:35"
"KF interface and communication issues","KF interface and communication issues",,,"2017-11-28 14:35:05"
"KF interface and communication issues","KF interface and communication issues",,,"2017-11-28 14:36:37"
"KF interface and communication issues","KF interface and communication issues",,,"2017-11-28 14:36:44"
"KF interface and communication issues","KF interface and communication issues",,,"2017-11-28 14:38:36"
"KF interface and communication issues","KF interface and communication issues",,,"2017-11-28 14:42:04"
"KF interface and communication issues","KF interface and communication issues",,,"2017-11-28 14:42:59"
"KF interface and communication issues","KF interface and communication issues",,,"2017-11-28 14:51:08"
"KF interface and communication issues","KF interface and communication issues",,,"2017-11-28 14:55:45"
"KF interface and communication issues","KF interface and communication issues",,,"2017-11-28 14:56:38"
"KF interface and communication issues","KF interface and communication issues",,,"2017-11-28 14:59:51"
"KF interface and communication issues","KF interface and communication issues","2","Add different colorarea子筵劉","2017-11-28 15:26:35"
"KF interface and communication issues","KF interface and communication issues","6","[5Rs]
1. Real-time Notification Functions（及時通知機能
2. Real-time File-Editing, File-Reading via Online File Sharing（及時file編輯・預覧・分享）
3. Real-time Language Translation（及時語言翻譯）
4. Real-time Opinion Sharing（及時意見分享）
5. Revisiting messiness of connection branches（重新思考節點連結的方式）","2017-12-05 14:56:42"
"KF interface and communication issues","KF interface and communication issues","3","ppt is here (Link->https://docs.google.com/presentation/d/1DAS_5ZiqkR0jMEmnsdQjJWACC_KVBOAMN1oxlhRGfFU/edit?usp=sharing)","2017-12-12 14:41:13"
"Promising ideas and rise above","Promising ideas and rise above","5","How to decide which idea is promising idea among multi-idea posted by group members? How to evaluate that idea is the most appropiate?","2017-11-21 15:57:05"
"Promising ideas and rise above","Promising ideas and rise above",,,"2017-11-21 16:04:37"
"Promising ideas and rise above","Promising ideas and rise above",,,"2017-11-21 16:12:27"
"Promising ideas and rise above","Promising ideas and rise above",,,"2017-11-21 16:14:22"
"Promising ideas and rise above","Promising ideas and rise above","2","Link that could help to figure out.
http://www.heidisiwak.com/2015/02/rise-above-what-does-it-mean-to-be-in-a-knowledge-building-community/","2017-11-21 16:14:24"
"Promising ideas and rise above","Promising ideas and rise above","2","First, we need to determine what are:
1. Promising Idea
2. Rise Above
byreading articles related to it. And proposed a design of technology supported to these issues and integrated both of them.","2017-11-21 16:14:47"
"Promising ideas and rise above","Promising ideas and rise above","1","Build on is the same topic, I think we just find animportant post of building tree.","2017-11-21 16:14:59"
"Promising ideas and rise above","Promising ideas and rise above",,,"2017-11-21 16:16:35"
"Promising ideas and rise above","Promising ideas and rise above","4","we have look carrefully to ''students' understanding'' of promising idea in their age?","2017-11-21 16:17:29"
"Promising ideas and rise above","Promising ideas and rise above","3","like this?
https://research.googleblog.com/2016/08/text-summarization-with-tensorflow.html","2017-11-21 16:18:57"
"Promising ideas and rise above","Promising ideas and rise above",,,"2017-11-21 16:18:58"
"Promising ideas and rise above","Promising ideas and rise above","2","Accroding to the finding of the article I uploaded, the idea that can be classified and further analyzed to have an impact on subsequence discourse is promising idea. So we should calssify and analze whatever is posted in KF; how it impact on what. This makes a wonderful discussion,","2017-11-21 16:20:08"
"Promising ideas and rise above","Promising ideas and rise above",,,"2017-11-21 16:21:07"
"Promising ideas and rise above","Promising ideas and rise above",,,"2017-11-21 16:21:46"
"Promising ideas and rise above","Promising ideas and rise above",,,"2017-11-21 16:21:52"
"Promising ideas and rise above","Promising ideas and rise above","2","The Promising Ideas Tool has three components:
a idea highlighting—
b idea aggregation— and
c idea export—a user can export selected ideas to a new view for further development","2017-11-21 16:22:51"
"Promising ideas and rise above","Promising ideas and rise above",,,"2017-11-21 16:23:43"
"Promising ideas and rise above","Promising ideas and rise above","1","[ - yes, it is possible. probably, it is not unpromising and my be unclear what he/she wants to design. If we think critcally mort about how his/her idea advance whom- ]","2017-11-21 16:28:09"
"Promising ideas and rise above","Promising ideas and rise above",,,"2017-11-21 16:29:32"
"Promising ideas and rise above","Promising ideas and rise above","1","[ - for children, I thik make them to produce idea is better than judging kid's idea is promising or unpromising - ]","2017-11-21 16:33:31"
